"","consent","demo_party","demo_party_forced","demo_ideology","demo_pol_forced","demo_gender","subject_rid","age","gender","hhi","ethnicity","hispanic","education","political_party","region","zip","question","ideology","headline","headline_text","ideology_num","headline_politics","answer_num","batch","group"
"17.1...17","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","no opinion","Right or center-right","Female","5008274722","19","2","6","1","1","4","1","2","68510",1,"is politically neutral","Dem_9","Susan Collins Raised More Money from Brett Kavanaugh Supporters than Mainers",0,"Dem",0,"1","mixed"
"18.1...18","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Democrat","liberal","Right or center-right","Female","7162871472","56","2","1","1","1","1","3","3","72419",1,"supports left or liberal views","Rep_1","Guest Kicked Out of Disneyland for Unfurling 'Trump 2020' Banner",-1,"Rep",-1,"1","mixed"
"19.1...19","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Republican","somewhat conservative","Right or center-right","Male","6998755415","53","1","-3105","1","1","7","5","1","12061",1,"supports left or liberal views","Dem_x2","North Carolina Republicans push legislation to hobble incoming Democratic governor",-1,"Dem",-1,"1","mixed"
"20.1...20","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Other","Democrat","no opinion","Right or center-right","Female","1192857898","66","2","1","1","1","4","7","3","79924",1,"is politically neutral","Rep_x1","Companies are already canceling plans to move U.S. jobs abroad",0,"Rep",0,"1","mixed"
"21.1...21","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","somewhat liberal","Right or center-right","Male","9405779438","31","1","19","1","1","6","9","4","90009",1,"is politically neutral","Rep_7","America Created 304,000 Jobs in January, Smashing Estimates",0,"Rep",0,"1","mixed"
"22.1...22","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","conservative","Right or center-right","Male","513782450","78","1","11","1","1","7","10","4","83647",1,"is more left or liberal","Rep_5","Migrant Jobs Project Spends 15 Million to Employ Only 120",-1,"Rep",-1,"1","mixed"
"23.1...23","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","somewhat liberal","Left or center-left","Male","9610559763","48","1","23","1","1","7","2","2","58104",1,"is more left or liberal","Dem_3","Trump Says South Korea is Paying $500 Million More for U.S. Troops. The Deal Says Otherwise.",-1,"Dem",-1,"1","mixed"
"24.1...24","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Democrat","no opinion","Left or center-left","Male","3797048810","31","1","9","15","2","2","3","4","95648",1,"is politically neutral","Dem_8","US Budget Deficit Running 41.8 Percent above Last Year",0,"Dem",0,"1","mixed"
"25.1...25","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Democrat","no opinion","Left or center-left","Female","5438626278","22","2","1","2","1","4","7","4","85041",1,"is politically neutral","Dem_8","US Budget Deficit Running 41.8 Percent above Last Year",0,"Dem",0,"1","mixed"
"26.1...26","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","somewhat conservative","Right or center-right","Female","3787285346","34","2","13","15","1","4","3","2","44035",1,"supports right or conservative views","Dem_6","Justice Department to Award $8.3 Million to California Victims of Las Vegas Shooting",1,"Dem",1,"1","mixed"
"1.2...27","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Other","Democrat","somewhat conservative","Right or center-right","Female","6059554270","21","2","1","2","1","2","7","3","77064",2,"supports left or liberal views","Dem_2","Undeniable Warming: The Planet's Hottest Five Years on Record",-1,"Dem",-1,"1","mixed"
"2.2...28","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","conservative","Right or center-right","Male","9585922169","19","1","1","1","1","2","10","1","11741",2,"supports left or liberal views","Rep_1","Guest Kicked Out of Disneyland for Unfurling 'Trump 2020' Banner",-1,"Rep",-1,"1","mixed"
"3.2...29","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Other","Democrat","no opinion","Right or center-right","Female","8939399137","56","2","1","1","1","3","7","1","08865",2,"is more right or conservative","Dem_6","Justice Department to Award $8.3 Million to California Victims of Las Vegas Shooting",1,"Dem",1,"1","mixed"
"4.2...30","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","no opinion","Left or center-left","Female","7592548150","74","2","7","1","1","4","1","3","75452",2,"is more left or liberal","Rep_x3","At GOP convention finale, Donald Trump vows to protect LGBTQ community",-1,"Rep",-1,"1","mixed"
"5.2...31","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","conservative","Left or center-left","Male","1236577854","35","1","22","1","2","8","1","1","10001",2,"is politically neutral","Rep_5","Migrant Jobs Project Spends 15 Million to Employ Only 120",0,"Rep",0,"1","mixed"
"6.2...32","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Republican","somewhat conservative","Left or center-left","Male","7449148935","50","1","5","1","1","7","4","1","10456",2,"is politically neutral","Rep_4","Investors Pulled Record $25 Billion from US Stock ETFs in January",0,"Rep",0,"1","mixed"
"7.2...33","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Republican","conservative","Left or center-left","Male","6137465490","39","1","24","1","1","8","10","3","79705",2,"","Rep_5","Migrant Jobs Project Spends 15 Million to Employ Only 120",-99,"Rep",-99,"1","mixed"
"8.2...34","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Republican","somewhat conservative","Right or center-right","Other","6327995909","72","2","14","1","1","5","5","1","19312",2,"is politically neutral","Rep_8","76 Percent of Viewers Approve President Trump's State of the Union Speech",0,"Rep",0,"1","mixed"
"9.2...35","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Democrat","somewhat liberal","Left or center-left","Male","5933535900","59","1","-3105","1","1","4","3","3","40004",2,"is politically neutral","Dem_2","Undeniable Warming: The Planet's Hottest Five Years on Record",0,"Dem",0,"1","mixed"
"10.2...36","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","somewhat conservative","Right or center-right","Female","1979948092","50","2","3","1","1","5","9","3","38138",2,"is politically neutral","Dem_2","Undeniable Warming: The Planet's Hottest Five Years on Record",0,"Dem",0,"1","mixed"
"11.2...37","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Other","Republican","no opinion","Left or center-left","Female","2477807817","34","2","1","1","1","-3105","7","2","60610",2,"supports right or conservative views","Dem_9","Susan Collins Raised More Money from Brett Kavanaugh Supporters than Mainers",1,"Dem",1,"1","mixed"
"12.2...38","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Republican","no opinion","Left or center-left","Female","8941062931","39","2","1","2","1","2","4","3","37207",2,"is politically neutral","Rep_x1","Companies are already canceling plans to move U.S. jobs abroad",0,"Rep",0,"1","mixed"
"13.2...39","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","somewhat conservative","Right or center-right","Male","3351637568","67","1","15","1","1","7","10","2","53511",2,"is politically neutral","Dem_10","Trump's First 4 Mar-a-Lago Trips Cost Taxpayers $13.6 Million",0,"Dem",0,"1","mixed"
"14.2...40","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","liberal","Left or center-left","Male","8150657681","25","2","19","1","2","6","10","3","32311",2,"is politically neutral","Rep_6","Illegal Immigration Expected to Hit Highest Level Since George W. Bush",0,"Rep",0,"1","mixed"
"15.2...41","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","somewhat liberal","Left or center-left","Female","3747897665","34","2","19","1","1","7","2","3","20120",2,"is more left or liberal","Rep_x3","At GOP convention finale, Donald Trump vows to protect LGBTQ community",-1,"Rep",-1,"1","mixed"
"16.2...42","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","somewhat conservative","Right or center-right","Male","4029049198","25","1","-3105","16","1","-3105","7","3","22206",2,"is more right or conservative","Rep_4","Investors Pulled Record $25 Billion from US Stock ETFs in January",1,"Rep",1,"1","mixed"
"17.2...43","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","no opinion","Right or center-right","Female","5008274722","19","2","6","1","1","4","1","2","68510",2,"is politically neutral","Rep_2","Northam Got Nearly $2 Million in Donations from Planned Parenthood",0,"Rep",0,"1","mixed"
"18.2...44","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Democrat","liberal","Right or center-right","Female","7162871472","56","2","1","1","1","1","3","3","72419",2,"supports left or liberal views","Dem_9","Susan Collins Raised More Money from Brett Kavanaugh Supporters than Mainers",-1,"Dem",-1,"1","mixed"
"19.2...45","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Republican","somewhat conservative","Right or center-right","Male","6998755415","53","1","-3105","1","1","7","5","1","12061",2,"is more left or liberal","Dem_10","Trump's First 4 Mar-a-Lago Trips Cost Taxpayers $13.6 Million",-1,"Dem",-1,"1","mixed"
"20.2...46","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Other","Democrat","no opinion","Right or center-right","Female","1192857898","66","2","1","1","1","4","7","3","79924",2,"supports right or conservative views","Dem_7","Nearly 400 Trump Aides Had Access to Leaked Schedules",1,"Dem",1,"1","mixed"
"21.2...47","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","somewhat liberal","Right or center-right","Male","9405779438","31","1","19","1","1","6","9","4","90009",2,"is politically neutral","Dem_6","Justice Department to Award $8.3 Million to California Victims of Las Vegas Shooting",0,"Dem",0,"1","mixed"
"22.2...48","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","conservative","Right or center-right","Male","513782450","78","1","11","1","1","7","10","4","83647",2,"is more right or conservative","Rep_8","76 Percent of Viewers Approve President Trump's State of the Union Speech",1,"Rep",1,"1","mixed"
"23.2...49","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","somewhat liberal","Left or center-left","Male","9610559763","48","1","23","1","1","7","2","2","58104",2,"supports left or liberal views","Dem_10","Trump's First 4 Mar-a-Lago Trips Cost Taxpayers $13.6 Million",-1,"Dem",-1,"1","mixed"
"24.2...50","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Democrat","no opinion","Left or center-left","Male","3797048810","31","1","9","15","2","2","3","4","95648",2,"supports left or liberal views","Dem_x3","Trump lashes out at Vanity Fair, one day after it lambastes his restaurant",-1,"Dem",-1,"1","mixed"
"25.2...51","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Democrat","no opinion","Left or center-left","Female","5438626278","22","2","1","2","1","4","7","4","85041",2,"is more left or liberal","Rep_5","Migrant Jobs Project Spends 15 Million to Employ Only 120",-1,"Rep",-1,"1","mixed"
"26.2...52","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","somewhat conservative","Right or center-right","Female","3787285346","34","2","13","15","1","4","3","2","44035",2,"supports right or conservative views","Dem_x1","The small businesses near Trump Tower are experiencing a miniature recession",1,"Dem",1,"1","mixed"
"1.3...53","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Other","Democrat","somewhat conservative","Right or center-right","Female","6059554270","21","2","1","2","1","2","7","3","77064",3,"supports left or liberal views","Dem_10","Trump's First 4 Mar-a-Lago Trips Cost Taxpayers $13.6 Million",-1,"Dem",-1,"1","mixed"
"2.3...54","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","conservative","Right or center-right","Male","9585922169","19","1","1","1","1","2","10","1","11741",3,"supports left or liberal views","Rep_6","Illegal Immigration Expected to Hit Highest Level Since George W. Bush",-1,"Rep",-1,"1","mixed"
"3.3...55","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Other","Democrat","no opinion","Right or center-right","Female","8939399137","56","2","1","1","1","3","7","1","08865",3,"is more right or conservative","Rep_x1","Companies are already canceling plans to move U.S. jobs abroad",1,"Rep",1,"1","mixed"
"4.3...56","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","no opinion","Left or center-left","Female","7592548150","74","2","7","1","1","4","1","3","75452",3,"is more left or liberal","Rep_x2","Dems scramble to prevent their own from defecting to Trump",-1,"Rep",-1,"1","mixed"
"5.3...57","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","conservative","Left or center-left","Male","1236577854","35","1","22","1","2","8","1","1","10001",3,"is more right or conservative","Dem_6","Justice Department to Award $8.3 Million to California Victims of Las Vegas Shooting",1,"Dem",1,"1","mixed"
"6.3...58","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Republican","somewhat conservative","Left or center-left","Male","7449148935","50","1","5","1","1","7","4","1","10456",3,"is more left or liberal","Dem_1","Justice Dept. Officials Had Discussions About Pushing Trump Out",-1,"Dem",-1,"1","mixed"
"7.3...59","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Republican","conservative","Left or center-left","Male","6137465490","39","1","24","1","1","8","10","3","79705",3,"is more right or conservative","Dem_4","Since Parkland There's Been a School Shooting, on Average, Every 12 Days",1,"Dem",1,"1","mixed"
"8.3...60","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Republican","somewhat conservative","Right or center-right","Other","6327995909","72","2","14","1","1","5","5","1","19312",3,"is politically neutral","Rep_10","Islamic State is 100 Percent Defeated",0,"Rep",0,"1","mixed"
"9.3...61","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Democrat","somewhat liberal","Left or center-left","Male","5933535900","59","1","-3105","1","1","4","3","3","40004",3,"is politically neutral","Dem_7","Nearly 400 Trump Aides Had Access to Leaked Schedules",0,"Dem",0,"1","mixed"
"10.3...62","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","somewhat conservative","Right or center-right","Female","1979948092","50","2","3","1","1","5","9","3","38138",3,"is politically neutral","Rep_7","America Created 304,000 Jobs in January, Smashing Estimates",0,"Rep",0,"1","mixed"
"11.3...63","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Other","Republican","no opinion","Left or center-left","Female","2477807817","34","2","1","1","1","-3105","7","2","60610",3,"is politically neutral","Dem_7","Nearly 400 Trump Aides Had Access to Leaked Schedules",0,"Dem",0,"1","mixed"
"12.3...64","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Republican","no opinion","Left or center-left","Female","8941062931","39","2","1","2","1","2","4","3","37207",3,"is politically neutral","Dem_8","US Budget Deficit Running 41.8 Percent above Last Year",0,"Dem",0,"1","mixed"
"13.3...65","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","somewhat conservative","Right or center-right","Male","3351637568","67","1","15","1","1","7","10","2","53511",3,"is more right or conservative","Rep_10","Islamic State is 100 Percent Defeated",1,"Rep",1,"1","mixed"
"14.3...66","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","liberal","Left or center-left","Male","8150657681","25","2","19","1","2","6","10","3","32311",3,"is politically neutral","Rep_x2","Dems scramble to prevent their own from defecting to Trump",0,"Rep",0,"1","mixed"
"15.3...67","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","somewhat liberal","Left or center-left","Female","3747897665","34","2","19","1","1","7","2","3","20120",3,"is more right or conservative","Dem_10","Trump's First 4 Mar-a-Lago Trips Cost Taxpayers $13.6 Million",1,"Dem",1,"1","mixed"
"16.3...68","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","somewhat conservative","Right or center-right","Male","4029049198","25","1","-3105","16","1","-3105","7","3","22206",3,"is more left or liberal","Dem_5","Demand for IUDs and Birth Control Implants Rose After Trump's Election Amid Insurance Concerns",-1,"Dem",-1,"1","mixed"
"17.3...69","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","no opinion","Right or center-right","Female","5008274722","19","2","6","1","1","4","1","2","68510",3,"is politically neutral","Rep_10","Islamic State is 100 Percent Defeated",0,"Rep",0,"1","mixed"
"18.3...70","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Democrat","liberal","Right or center-right","Female","7162871472","56","2","1","1","1","1","3","3","72419",3,"supports right or conservative views","Dem_2","Undeniable Warming: The Planet's Hottest Five Years on Record",1,"Dem",1,"1","mixed"
"19.3...71","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Republican","somewhat conservative","Right or center-right","Male","6998755415","53","1","-3105","1","1","7","5","1","12061",3,"is more left or liberal","Dem_x1","The small businesses near Trump Tower are experiencing a miniature recession",-1,"Dem",-1,"1","mixed"
"20.3...72","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Other","Democrat","no opinion","Right or center-right","Female","1192857898","66","2","1","1","1","4","7","3","79924",3,"is more right or conservative","Rep_10","Islamic State is 100 Percent Defeated",1,"Rep",1,"1","mixed"
"21.3...73","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","somewhat liberal","Right or center-right","Male","9405779438","31","1","19","1","1","6","9","4","90009",3,"is more left or liberal","Dem_10","Trump's First 4 Mar-a-Lago Trips Cost Taxpayers $13.6 Million",-1,"Dem",-1,"1","mixed"
"22.3...74","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","conservative","Right or center-right","Male","513782450","78","1","11","1","1","7","10","4","83647",3,"is more right or conservative","Rep_10","Islamic State is 100 Percent Defeated",1,"Rep",1,"1","mixed"
"23.3...75","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","somewhat liberal","Left or center-left","Male","9610559763","48","1","23","1","1","7","2","2","58104",3,"is politically neutral","Dem_5","Demand for IUDs and Birth Control Implants Rose After Trump's Election Amid Insurance Concerns",0,"Dem",0,"1","mixed"
"24.3...76","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Democrat","no opinion","Left or center-left","Male","3797048810","31","1","9","15","2","2","3","4","95648",3,"is more right or conservative","Dem_x2","North Carolina Republicans push legislation to hobble incoming Democratic governor",1,"Dem",1,"1","mixed"
"25.3...77","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Democrat","no opinion","Left or center-left","Female","5438626278","22","2","1","2","1","4","7","4","85041",3,"is more right or conservative","Rep_8","76 Percent of Viewers Approve President Trump's State of the Union Speech",1,"Rep",1,"1","mixed"
"26.3...78","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","somewhat conservative","Right or center-right","Female","3787285346","34","2","13","15","1","4","3","2","44035",3,"is politically neutral","Rep_x3","At GOP convention finale, Donald Trump vows to protect LGBTQ community",0,"Rep",0,"1","mixed"
"1.4...79","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Other","Democrat","somewhat conservative","Right or center-right","Female","6059554270","21","2","1","2","1","2","7","3","77064",4,"supports left or liberal views","Rep_8","76 Percent of Viewers Approve President Trump's State of the Union Speech",-1,"Rep",-1,"1","mixed"
"2.4...80","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","conservative","Right or center-right","Male","9585922169","19","1","1","1","1","2","10","1","11741",4,"supports right or conservative views","Rep_7","America Created 304,000 Jobs in January, Smashing Estimates",1,"Rep",1,"1","mixed"
"3.4...81","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Other","Democrat","no opinion","Right or center-right","Female","8939399137","56","2","1","1","1","3","7","1","08865",4,"is politically neutral","Dem_7","Nearly 400 Trump Aides Had Access to Leaked Schedules",0,"Dem",0,"1","mixed"
"4.4...82","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","no opinion","Left or center-left","Female","7592548150","74","2","7","1","1","4","1","3","75452",4,"is more left or liberal","Dem_5","Demand for IUDs and Birth Control Implants Rose After Trump's Election Amid Insurance Concerns",-1,"Dem",-1,"1","mixed"
"5.4...83","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Democrat","conservative","Left or center-left","Male","1236577854","35","1","22","1","2","8","1","1","10001",4,"is more right or conservative","Rep_4","Investors Pulled Record $25 Billion from US Stock ETFs in January",1,"Rep",1,"1","mixed"
"6.4...84","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Republican","somewhat conservative","Left or center-left","Male","7449148935","50","1","5","1","1","7","4","1","10456",4,"is more left or liberal","Rep_5","Migrant Jobs Project Spends 15 Million to Employ Only 120",-1,"Rep",-1,"1","mixed"
"7.4...85","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Democrat","Republican","conservative","Left or center-left","Male","6137465490","39","1","24","1","1","8","10","3","79705",4,"is more left or liberal","Rep_9","Trump's Approval Rating among Likely Voters Soars to His Best in 23 Months at 52%",-1,"Rep",-1,"1","mixed"
"8.4...86","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Republican","somewhat conservative","Right or center-right","Other","6327995909","72","2","14","1","1","5","5","1","19312",4,"supports left or liberal views","Dem_10","Trump's First 4 Mar-a-Lago Trips Cost Taxpayers $13.6 Million",-1,"Dem",-1,"1","mixed"
"9.4...87","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Democrat","somewhat liberal","Left or center-left","Male","5933535900","59","1","-3105","1","1","4","3","3","40004",4,"is politically neutral","Dem_6","Justice Department to Award $8.3 Million to California Victims of Las Vegas Shooting",0,"Dem",0,"1","mixed"
"10.4...88","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Republican","Republican","somewhat conservative","Right or center-right","Female","1979948092","50","2","3","1","1","5","9","3","38138",4,"supports right or conservative views","Dem_7","Nearly 400 Trump Aides Had Access to Leaked Schedules",1,"Dem",1,"1","mixed"
"11.4...89","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Other","Republican","no opinion","Left or center-left","Female","2477807817","34","2","1","1","1","-3105","7","2","60610",4,"supports left or liberal views","Dem_4","Since Parkland There's Been a School Shooting, on Average, Every 12 Days",-1,"Dem",-1,"1","mixed"
"12.4...90","I CONSENT to take part in the study. I am 18 or older, and I understand my rights in this study.","Independent","Republican","no opinion","Left or center-left","Female","8941062931","39","2","1","2","1","2","4","3","37207",4,"is politically neutral","Dem_x2","North Carolina Republicans push legislation to hobble incoming Democratic governor",0,"Dem",0,"1","mixed"
