study,group,question,answer,submit_time,source,source_politics,source_alignment,headline,headline_type,headline_politics,headline_alignment,subject_id,subject_politics,demo_party,demo_ideology,demo_ideology_forced,demo_gender,demo_education,demo_birthyear,demo_age,relevant_for_analysis,source_familiarity,source_trust,source_trust_num
Study 1,control,3,FALSE,15.108,fox,conservative,TRUE,Dem_2,Dem,liberal,FALSE,study_1_140,conservative,Republican,somewhat conservative,Right or center-right,Female,High school degree or equivalent (e.g. GED),1967,52,TRUE,yes,Barely,0.25
Study 1,control,3,TRUE,13.796,fox,conservative,TRUE,Dem_3,Dem,liberal,FALSE,study_1_141,conservative,Independent,no opinion,Right or center-right,Male,High school degree or equivalent (e.g. GED),1995,24,TRUE,yes,Barely,0.25
Study 1,control,3,TRUE,7.255,nyt,liberal,FALSE,Dem_3,Dem,liberal,FALSE,study_1_142,conservative,Republican,conservative,Right or center-right,Male,High school degree or equivalent (e.g. GED),1996,23,TRUE,yes,Somewhat,0.5
Study 1,control,3,FALSE,9.236,fox,conservative,FALSE,Rep_1,Rep,conservative,FALSE,study_1_144,liberal,Democrat,liberal,Left or center-left,Male,"Bachelor’s degree (e.g. BA, BS)",1982,37,TRUE,yes,Barely,0.25
Study 1,bonus,3,TRUE,7.524,nyt,liberal,TRUE,Dem_3,Dem,liberal,TRUE,study_1_146,liberal,Independent,liberal,Left or center-left,Female,"Associate degree (e.g. AA, AS)",1981,38,TRUE,yes,A lot,0.75
Study 1,control,3,FALSE,15.008,fox,conservative,TRUE,Dem_2,Dem,liberal,FALSE,study_1_147,conservative,Independent,conservative,Right or center-right,Male,"Bachelor’s degree (e.g. BA, BS)",1987,32,TRUE,yes,Entirely,1
Study 1,control,3,TRUE,15.073,fox,conservative,TRUE,Dem_2,Dem,liberal,FALSE,study_1_149,conservative,Republican,conservative,Right or center-right,Female,"Associate degree (e.g. AA, AS)",1991,28,TRUE,yes,Somewhat,0.5
Study 1,control,3,FALSE,14.967,fox,conservative,TRUE,Dem_3,Dem,liberal,FALSE,study_1_150,conservative,Republican,conservative,Right or center-right,Female,"Doctorate (e.g. PhD, EdD)",1986,33,TRUE,yes,Entirely,1
Study 1,bonus,3,FALSE,7.5,nyt,liberal,FALSE,Dem_1,Dem,liberal,FALSE,study_1_155,conservative,Republican,conservative,Right or center-right,Male,"Bachelor’s degree (e.g. BA, BS)",1987,32,TRUE,yes,Entirely,1
Study 1,bonus,3,FALSE,15.075,fox,conservative,TRUE,Rep_2,Rep,conservative,TRUE,study_1_156,conservative,Republican,conservative,Right or center-right,Male,"Bachelor’s degree (e.g. BA, BS)",1988,31,TRUE,yes,Barely,0.25
Study 1,control,3,TRUE,8.921,nyt,liberal,TRUE,Dem_2,Dem,liberal,TRUE,study_1_158,liberal,Independent,somewhat liberal,Left or center-left,Female,"Bachelor’s degree (e.g. BA, BS)",1995,24,TRUE,yes,Somewhat,0.5
Study 1,control,3,FALSE,7.24,nyt,liberal,FALSE,Rep_2,Rep,conservative,TRUE,study_1_164,conservative,Republican,conservative,Right or center-right,Female,"Bachelor’s degree (e.g. BA, BS)",1984,35,TRUE,yes,Entirely,1
Study 1,bonus,3,FALSE,12.082,nyt,liberal,FALSE,Dem_2,Dem,liberal,FALSE,study_1_167,conservative,Republican,conservative,Right or center-right,Female,"Associate degree (e.g. AA, AS)",1963,56,TRUE,yes,Not at all,0
Study 1,bonus,3,TRUE,7.5,nyt,liberal,FALSE,Dem_3,Dem,liberal,FALSE,study_1_168,conservative,Republican,conservative,Right or center-right,Female,"Associate degree (e.g. AA, AS)",1973,46,TRUE,yes,Barely,0.25
Study 1,control,3,FALSE,9.183,fox,conservative,TRUE,Dem_2,Dem,liberal,FALSE,study_1_170,conservative,Republican,somewhat conservative,Right or center-right,Female,High school degree or equivalent (e.g. GED),1978,41,TRUE,yes,A lot,0.75
Study 1,bonus,3,TRUE,6.745,nyt,liberal,TRUE,Rep_1,Rep,conservative,FALSE,study_1_173,liberal,Independent,somewhat liberal,Left or center-left,Female,"Bachelor’s degree (e.g. BA, BS)",1980,39,TRUE,yes,Entirely,1
Study 1,control,3,FALSE,9.777,fox,conservative,FALSE,Rep_1,Rep,conservative,FALSE,study_1_175,liberal,Democrat,liberal,Left or center-left,Male,High school degree or equivalent (e.g. GED),1981,38,TRUE,yes,Barely,0.25
Study 1,bonus,3,FALSE,9.447,nyt,liberal,FALSE,Dem_3,Dem,liberal,FALSE,study_1_176,conservative,Republican,conservative,Right or center-right,Female,"Bachelor’s degree (e.g. BA, BS)",1977,42,TRUE,yes,Somewhat,0.5
Study 1,bonus,3,TRUE,6.756,fox,conservative,TRUE,Dem_3,Dem,liberal,FALSE,study_1_179,conservative,Republican,somewhat conservative,Right or center-right,Female,"Bachelor’s degree (e.g. BA, BS)",1988,31,TRUE,yes,Somewhat,0.5
Study 1,control,3,TRUE,7.162,nyt,liberal,FALSE,Rep_2,Rep,conservative,TRUE,study_1_181,conservative,Republican,conservative,Right or center-right,Female,"Bachelor’s degree (e.g. BA, BS)",1970,49,TRUE,yes,Somewhat,0.5
Study 1,bonus,3,TRUE,9.169,fox,conservative,TRUE,Rep_2,Rep,conservative,TRUE,study_1_184,conservative,Democrat,conservative,Right or center-right,Male,"Master’s degree (e.g. MA, MS)",1987,32,TRUE,yes,A lot,0.75
Study 1,control,3,TRUE,6.634,nyt,liberal,FALSE,Rep_3,Rep,conservative,TRUE,study_1_190,conservative,Democrat,no opinion,Right or center-right,Male,High school degree or equivalent (e.g. GED),1978,41,TRUE,yes,A lot,0.75
Study 1,control,3,FALSE,6.952,fox,conservative,FALSE,Rep_3,Rep,conservative,FALSE,study_1_192,liberal,Democrat,liberal,Left or center-left,Male,High school degree or equivalent (e.g. GED),1987,32,TRUE,yes,Not at all,0
Study 1,bonus,3,TRUE,15.107,nyt,liberal,FALSE,Rep_3,Rep,conservative,TRUE,study_1_193,conservative,Independent,somewhat conservative,Right or center-right,Male,"Bachelor’s degree (e.g. BA, BS)",1980,39,TRUE,no,Somewhat,0.5
Study 1,control,3,FALSE,7.961,fox,conservative,FALSE,Dem_1,Dem,liberal,TRUE,study_1_195,liberal,Democrat,somewhat conservative,Left or center-left,Male,"Associate degree (e.g. AA, AS)",1992,27,TRUE,yes,Not at all,0
Study 1,bonus,3,FALSE,9.751,fox,conservative,TRUE,Rep_2,Rep,conservative,TRUE,study_1_196,conservative,Republican,conservative,Right or center-right,Female,"Bachelor’s degree (e.g. BA, BS)",1974,45,TRUE,yes,Somewhat,0.5
Study 1,bonus,3,FALSE,9.892,nyt,liberal,FALSE,Rep_1,Rep,conservative,TRUE,study_1_197,conservative,Independent,somewhat conservative,Right or center-right,Female,"Associate degree (e.g. AA, AS)",1967,52,TRUE,yes,Somewhat,0.5
Study 1,bonus,3,FALSE,7.55,nyt,liberal,TRUE,Dem_3,Dem,liberal,TRUE,study_1_201,liberal,Independent,somewhat liberal,Left or center-left,Female,"Bachelor’s degree (e.g. BA, BS)",1978,41,TRUE,yes,A lot,0.75
Study 1,bonus,3,FALSE,15.113,fox,conservative,FALSE,Dem_3,Dem,liberal,TRUE,study_1_210,liberal,Democrat,liberal,Left or center-left,Male,High school degree or equivalent (e.g. GED),1987,32,TRUE,yes,Barely,0.25
Study 1,bonus,3,TRUE,8.828,nyt,liberal,TRUE,Dem_2,Dem,liberal,TRUE,study_1_211,liberal,Independent,somewhat conservative,Left or center-left,Male,"Bachelor’s degree (e.g. BA, BS)",1990,29,TRUE,yes,Somewhat,0.5
Study 1,bonus,3,FALSE,12.238,nyt,liberal,FALSE,Dem_2,Dem,liberal,FALSE,study_1_214,conservative,Independent,somewhat conservative,Right or center-right,Female,"Associate degree (e.g. AA, AS)",1969,50,TRUE,no,Barely,0.25
Study 1,bonus,3,TRUE,9.799,fox,conservative,TRUE,Dem_2,Dem,liberal,FALSE,study_1_216,conservative,Republican,conservative,Right or center-right,Male,High school degree or equivalent (e.g. GED),1958,61,TRUE,yes,A lot,0.75
Study 1,control,3,TRUE,6.396,nyt,liberal,TRUE,Dem_3,Dem,liberal,TRUE,study_1_218,liberal,Democrat,somewhat liberal,Left or center-left,Male,"Bachelor’s degree (e.g. BA, BS)",1987,32,TRUE,yes,Somewhat,0.5
Study 1,bonus,3,FALSE,11.343,fox,conservative,FALSE,Dem_2,Dem,liberal,TRUE,study_1_225,liberal,Democrat,somewhat liberal,Left or center-left,Female,"Bachelor’s degree (e.g. BA, BS)",1974,45,TRUE,yes,Barely,0.25
Study 1,bonus,3,FALSE,6.735,nyt,liberal,TRUE,Rep_1,Rep,conservative,FALSE,study_1_227,liberal,Democrat,liberal,Left or center-left,Male,"Bachelor’s degree (e.g. BA, BS)",1984,35,TRUE,yes,A lot,0.75
Study 1,bonus,3,FALSE,6.805,nyt,liberal,FALSE,Rep_3,Rep,conservative,TRUE,study_1_234,conservative,Other,no opinion,Right or center-right,Male,High school degree or equivalent (e.g. GED),1969,50,TRUE,yes,Not at all,0
Study 1,control,3,TRUE,8.002,nyt,liberal,FALSE,Rep_3,Rep,conservative,TRUE,study_1_237,conservative,Democrat,liberal,Right or center-right,Female,"Associate degree (e.g. AA, AS)",1967,52,TRUE,yes,Entirely,1
Study 1,control,3,FALSE,5.79,fox,conservative,TRUE,Dem_3,Dem,liberal,FALSE,study_1_238,conservative,Republican,conservative,Right or center-right,Male,"Bachelor’s degree (e.g. BA, BS)",1990,29,TRUE,yes,Somewhat,0.5
Study 1,bonus,3,TRUE,10.393,fox,conservative,FALSE,Rep_2,Rep,conservative,FALSE,study_1_241,liberal,Independent,somewhat liberal,Left or center-left,Female,"Associate degree (e.g. AA, AS)",1988,31,TRUE,yes,A lot,0.75
Study 1,control,3,FALSE,9.501,nyt,liberal,TRUE,Rep_3,Rep,conservative,FALSE,study_1_242,liberal,Democrat,somewhat liberal,Left or center-left,Female,"Bachelor’s degree (e.g. BA, BS)",1989,30,TRUE,yes,Entirely,1
Study 1,bonus,3,TRUE,12.895,fox,conservative,FALSE,Dem_3,Dem,liberal,TRUE,study_1_247,liberal,Democrat,somewhat liberal,Left or center-left,Male,"Bachelor’s degree (e.g. BA, BS)",1970,49,TRUE,yes,Barely,0.25
Study 1,control,3,FALSE,11.265,fox,conservative,TRUE,Dem_2,Dem,liberal,FALSE,study_1_252,conservative,Republican,conservative,Right or center-right,Female,"Bachelor’s degree (e.g. BA, BS)",1991,28,TRUE,yes,Entirely,1
Study 1,control,3,TRUE,6.585,nyt,liberal,FALSE,Dem_2,Dem,liberal,FALSE,study_1_253,conservative,Republican,somewhat conservative,Right or center-right,Female,"Associate degree (e.g. AA, AS)",1991,28,TRUE,yes,A lot,0.75
Study 1,control,3,TRUE,6.601,fox,conservative,FALSE,Dem_3,Dem,liberal,TRUE,study_1_254,liberal,Other,liberal,Left or center-left,Female,"Bachelor’s degree (e.g. BA, BS)",1981,38,TRUE,yes,Not at all,0
Study 1,control,3,FALSE,8.826,fox,conservative,FALSE,Rep_1,Rep,conservative,FALSE,study_1_258,liberal,Independent,somewhat liberal,Left or center-left,Male,"Bachelor’s degree (e.g. BA, BS)",1985,34,TRUE,yes,Barely,0.25
Study 1,control,3,TRUE,6.872,fox,conservative,TRUE,Rep_3,Rep,conservative,TRUE,study_1_259,conservative,Independent,somewhat conservative,Right or center-right,Male,"Associate degree (e.g. AA, AS)",1969,50,TRUE,yes,Barely,0.25
Study 1,bonus,3,FALSE,15.04,fox,conservative,TRUE,Rep_2,Rep,conservative,TRUE,study_1_260,conservative,Independent,somewhat conservative,Right or center-right,Male,"Bachelor’s degree (e.g. BA, BS)",1985,34,TRUE,yes,A lot,0.75
Study 1,control,3,TRUE,7.413,fox,conservative,TRUE,Rep_1,Rep,conservative,TRUE,study_1_266,conservative,Republican,conservative,Right or center-right,Male,High school degree or equivalent (e.g. GED),1992,27,TRUE,yes,Entirely,1
Study 1,control,3,FALSE,7.98,nyt,liberal,FALSE,Dem_3,Dem,liberal,FALSE,study_1_267,conservative,Republican,conservative,Right or center-right,Male,"Bachelor’s degree (e.g. BA, BS)",1991,28,TRUE,yes,Entirely,1
Study 1,bonus,3,FALSE,7.333,nyt,liberal,TRUE,Rep_2,Rep,conservative,FALSE,study_1_272,liberal,Democrat,somewhat liberal,Left or center-left,Female,"Master’s degree (e.g. MA, MS)",1991,28,TRUE,yes,Somewhat,0.5
Study 1,control,3,FALSE,7.566,fox,conservative,FALSE,Rep_3,Rep,conservative,FALSE,study_1_279,liberal,Democrat,somewhat liberal,Left or center-left,Male,"Bachelor’s degree (e.g. BA, BS)",1984,35,TRUE,yes,Not at all,0
Study 1,control,3,TRUE,6.248,nyt,liberal,TRUE,Rep_3,Rep,conservative,FALSE,study_1_281,liberal,Independent,liberal,Left or center-left,Female,"Bachelor’s degree (e.g. BA, BS)",1976,43,TRUE,yes,Barely,0.25
Study 1,bonus,3,FALSE,6.801,nyt,liberal,TRUE,Rep_3,Rep,conservative,FALSE,study_1_282,liberal,Democrat,somewhat liberal,Left or center-left,Female,High school degree or equivalent (e.g. GED),1979,40,TRUE,yes,A lot,0.75
Study 1,control,3,TRUE,6.867,nyt,liberal,TRUE,Rep_1,Rep,conservative,FALSE,study_1_284,liberal,Democrat,somewhat liberal,Left or center-left,Male,"Master’s degree (e.g. MA, MS)",1988,31,TRUE,yes,A lot,0.75
Study 1,bonus,3,TRUE,8.212,nyt,liberal,TRUE,Dem_1,Dem,liberal,TRUE,study_1_285,liberal,Democrat,somewhat liberal,Left or center-left,Female,High school degree or equivalent (e.g. GED),1947,72,TRUE,yes,A lot,0.75
Study 1,control,3,TRUE,6.884,fox,conservative,TRUE,Rep_3,Rep,conservative,TRUE,study_1_286,conservative,Republican,conservative,Right or center-right,Female,"Associate degree (e.g. AA, AS)",1981,38,TRUE,yes,Somewhat,0.5
Study 1,bonus,3,TRUE,6.733,nyt,liberal,TRUE,Rep_3,Rep,conservative,FALSE,study_1_294,liberal,Democrat,liberal,Left or center-left,Male,"Bachelor’s degree (e.g. BA, BS)",1987,32,TRUE,yes,A lot,0.75
Study 1,bonus,3,TRUE,7.378,fox,conservative,TRUE,Dem_3,Dem,liberal,FALSE,study_1_295,conservative,Republican,conservative,Right or center-right,Female,"Bachelor’s degree (e.g. BA, BS)",1988,31,TRUE,yes,A lot,0.75
Study 1,control,3,TRUE,7.427,fox,conservative,TRUE,Rep_1,Rep,conservative,TRUE,study_1_296,conservative,Republican,conservative,Right or center-right,Male,High school degree or equivalent (e.g. GED),1962,57,TRUE,yes,Barely,0.25
Study 1,bonus,3,FALSE,8.192,fox,conservative,FALSE,Dem_2,Dem,liberal,TRUE,study_1_298,liberal,Democrat,somewhat liberal,Left or center-left,Male,"Bachelor’s degree (e.g. BA, BS)",1976,43,TRUE,yes,Not at all,0
Study 1,bonus,3,FALSE,8.668,fox,conservative,TRUE,Rep_2,Rep,conservative,TRUE,study_1_299,conservative,Republican,conservative,Right or center-right,Male,"Associate degree (e.g. AA, AS)",1979,40,TRUE,yes,Entirely,1
Study 1,control,3,TRUE,6.459,fox,conservative,FALSE,Dem_3,Dem,liberal,TRUE,study_1_300,liberal,Democrat,liberal,Left or center-left,Female,High school degree or equivalent (e.g. GED),1985,34,TRUE,yes,Not at all,0
Study 1,control,3,FALSE,7.597,fox,conservative,FALSE,Rep_1,Rep,conservative,FALSE,study_1_303,liberal,Democrat,somewhat liberal,Left or center-left,Male,High school degree or equivalent (e.g. GED),1989,30,TRUE,yes,Barely,0.25
Study 1,bonus,3,TRUE,9.401,fox,conservative,TRUE,Rep_2,Rep,conservative,TRUE,study_1_304,conservative,Republican,somewhat conservative,Right or center-right,Female,High school degree or equivalent (e.g. GED),1947,72,TRUE,yes,Entirely,1
Study 1,bonus,3,TRUE,9.402,fox,conservative,TRUE,Rep_3,Rep,conservative,TRUE,study_1_306,conservative,Republican,conservative,Right or center-right,Female,"Bachelor’s degree (e.g. BA, BS)",1969,50,TRUE,yes,Entirely,1
Study 1,control,3,FALSE,15.165,fox,conservative,TRUE,Rep_2,Rep,conservative,TRUE,study_1_310,conservative,Independent,somewhat liberal,Right or center-right,Female,"Master’s degree (e.g. MA, MS)",1989,30,TRUE,yes,A lot,0.75
Study 1,bonus,3,FALSE,11.712,nyt,liberal,TRUE,Rep_2,Rep,conservative,FALSE,study_1_313,liberal,Democrat,somewhat liberal,Left or center-left,Female,"Associate degree (e.g. AA, AS)",1993,26,TRUE,yes,A lot,0.75
Study 1,control,3,FALSE,9.336,fox,conservative,TRUE,Rep_2,Rep,conservative,TRUE,study_1_314,conservative,Independent,somewhat conservative,Right or center-right,Female,"Master’s degree (e.g. MA, MS)",1983,36,TRUE,yes,Barely,0.25
Study 1,control,3,TRUE,6.136,nyt,liberal,FALSE,Rep_1,Rep,conservative,TRUE,study_1_315,conservative,Republican,conservative,Right or center-right,Male,High school degree or equivalent (e.g. GED),1990,29,TRUE,yes,Barely,0.25
Study 1,bonus,3,TRUE,7.164,fox,conservative,TRUE,Dem_3,Dem,liberal,FALSE,study_1_316,conservative,Independent,conservative,Right or center-right,Male,"Bachelor’s degree (e.g. BA, BS)",1987,32,TRUE,yes,Somewhat,0.5
Study 1,bonus,3,FALSE,7.579,nyt,liberal,TRUE,Rep_1,Rep,conservative,FALSE,study_1_323,liberal,Democrat,liberal,Left or center-left,Male,"Doctorate (e.g. PhD, EdD)",1971,48,TRUE,yes,A lot,0.75
Study 1,bonus,3,TRUE,8.955,nyt,liberal,FALSE,Rep_1,Rep,conservative,TRUE,study_1_324,conservative,Republican,conservative,Right or center-right,Female,High school degree or equivalent (e.g. GED),1988,31,TRUE,yes,Barely,0.25
Study 1,bonus,3,FALSE,8.027,fox,conservative,FALSE,Rep_3,Rep,conservative,FALSE,study_1_327,liberal,Democrat,liberal,Left or center-left,Female,"Master’s degree (e.g. MA, MS)",1976,43,TRUE,yes,Not at all,0
Study 1,control,3,TRUE,7.631,nyt,liberal,FALSE,Rep_1,Rep,conservative,TRUE,study_1_328,conservative,Republican,conservative,Right or center-right,Female,"Associate degree (e.g. AA, AS)",1971,48,TRUE,yes,Not at all,0
Study 1,bonus,3,TRUE,10.059,nyt,liberal,TRUE,Rep_2,Rep,conservative,FALSE,study_1_332,liberal,Democrat,somewhat conservative,Left or center-left,Male,"Bachelor’s degree (e.g. BA, BS)",1987,32,TRUE,yes,Entirely,1
